,region,yearweek,max_wind,min_wind,avg_wind,max_rain,min_rain,avg_rain,max_snow,min_snow,avg_snow,max_tempmax,min_tempmax,avg_tempmax,max_tempmin,min_tempmin,avg_tempmin
485,New York,201415,3.1,1.9,2.7285714285714286,13.2,0.0,3.114285714285714,0.0,0.0,0.0,25.0,11.7,18.814285714285713,13.3,5.6,8.885714285714286
486,New York,201416,3.9,2.4,3.1142857142857143,18.0,0.0,2.757142857142857,0.0,0.0,0.0,23.9,8.9,14.914285714285713,15.0,-0.5,4.457142857142857
487,New York,201417,4.2,1.9,2.8000000000000003,23.4,0.0,3.457142857142857,0.0,0.0,0.0,21.7,15.0,17.928571428571427,10.6,5.0,7.242857142857143
488,New York,201418,4.0,1.5,2.685714285714286,126.2,0.0,18.928571428571427,0.0,0.0,0.0,25.6,11.1,18.32857142857143,13.3,5.0,9.514285714285714
489,New York,201419,3.3,1.4,1.9428571428571428,10.4,0.0,3.085714285714286,0.0,0.0,0.0,28.3,15.0,21.67142857142857,15.6,10.0,12.157142857142857
490,New York,201420,3.2,0.8,2.314285714285714,39.1,0.0,6.171428571428572,0.0,0.0,0.0,29.4,19.4,22.3,17.8,10.6,13.1
491,New York,201421,2.1,0.9,1.4857142857142858,23.1,0.0,5.628571428571429,0.0,0.0,0.0,26.7,19.4,22.857142857142858,17.2,9.4,13.328571428571427
492,New York,201422,3.4,1.1,2.1,1.3,0.0,0.18571428571428572,0.0,0.0,0.0,30.0,17.8,24.057142857142857,18.9,10.6,14.142857142857142
493,New York,201423,2.5,1.3,1.7857142857142858,22.1,0.0,3.585714285714286,0.0,0.0,0.0,30.6,24.4,27.385714285714283,18.9,15.0,16.742857142857144
494,New York,201424,3.2,1.5,2.1,40.6,0.0,10.771428571428572,0.0,0.0,0.0,26.7,21.1,23.97142857142857,18.3,15.0,16.585714285714285
495,New York,201425,2.6,0.9,1.7857142857142858,3.8,0.0,0.5428571428571428,0.0,0.0,0.0,31.7,25.0,27.62857142857143,24.4,16.7,19.37142857142857
496,New York,201426,2.2,1.2,1.6428571428571428,2.0,0.0,0.5428571428571428,0.0,0.0,0.0,30.6,27.2,28.62857142857143,21.1,18.3,19.82857142857143
497,New York,201427,3.0,1.2,2.0142857142857142,45.2,0.0,10.457142857142857,0.0,0.0,0.0,32.8,23.3,29.057142857142853,22.2,17.2,20.0
498,New York,201428,2.6,1.3,1.9285714285714286,9.9,0.0,2.0,0.0,0.0,0.0,32.8,28.3,30.3,22.2,21.7,21.914285714285715
499,New York,201429,2.3,1.2,1.8,33.0,0.0,6.385714285714286,0.0,0.0,0.0,30.0,24.4,27.37142857142857,22.2,17.8,20.071428571428573
500,New York,201430,2.2,0.9,1.7571428571428573,4.8,0.0,0.7571428571428571,0.0,0.0,0.0,31.1,26.7,28.8,22.2,18.9,20.8
501,New York,201431,3.3,1.0,1.957142857142857,10.4,0.0,2.4285714285714284,0.0,0.0,0.0,28.9,23.3,26.185714285714287,21.7,17.2,18.97142857142857
502,New York,201432,1.9,1.1,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,32.2,28.3,29.671428571428574,21.7,18.3,20.0
